42489701|802|A|E
42489717|802|A|R
42489685|802|A|G
42489669|802|A|E
28577573|802|A|E
28577557|802|A|R
28577589|802|A|G
89882405|802|A|E
89882389|802|A|R
89882421|802|A|G
105716389|802|A|E
105716405|802|A|R
105716373|802|A|G
5876005|000|A|E
5875989|000|A|R
5876021|000|A|G
20319013|000|A|E
20318997|000|A|R
20319029|000|A|G
174046709|1004|B|E
174046693|1004|B|R
174046677|1004|B|G
207283237|806|B|E
207283221|806|B|R
207283253|806|B|G
194840357|806|B|E
128802853|806|B|E
128802837|806|B|R
128802869|806|B|G
230880693|1201|A|E
230880677|1201|A|R
230880661|1201|A|G
218009637|406|B|E
218009621|406|B|R
218009653|406|B|G
64676901|406|B|E
64676885|406|B|R
64676917|406|B|G
89598261|1404|A|E
89598245|1404|A|R
89598229|1404|A|G
79978533|1706|B|E
79978517|1706|B|R
79978549|1706|B|G
252046629|601|B|E
252046613|601|B|R
162213877|601|B|G
197770789|902|B|E
197770773|902|B|R
197770805|902|B|G
249169445|503|A|E
249169429|503|A|R
129261861|801|B|E
129261845|801|B|R
129261877|801|B|G
60181285|801|B|E
60181269|801|B|R
60181301|801|B|G
44343589|302|B|E
44343573|302|B|R
142741029|302|B|G
76138261|1001|A|E
76138373|1001|A|R
258130853|1001|A|G
81644837|501|B|E
81644821|501|B|R
81644853|501|B|G
10378789|401|B|E
10378773|401|B|R
259695381|401|B|G
194077477|1102|B|E
194077461|1102|B|R
194077493|1102|B|G
208014117|1303|B|E
168725269|1303|B|R
148883477|1303|B|G
89168421|1303|B|E
89168405|1303|B|R
89168437|1303|B|G
112303397|601|B|E
112303381|601|B|R
87617813|601|B|G
42228261|701|A|E
42228245|701|A|R
42228277|701|A|G
156376277|601|B|E
104112917|601|B|R
156376293|601|B|G
104112933|1106|B|E
104112949|1106|B|R
19088741|1106|B|G
138910133|1701|B|E
138910117|1701|B|R
138910101|1701|B|G
136270117|1604|B|E
136270101|1604|B|R
154908936|1604|B|G
59723797|1101|B|E
59723813|1101|B|R
139504405|1101|B|G
218780453|1601|B|E
218780437|1601|B|R
218780469|1601|B|G
63054629|901|B|E
63054613|901|B|R
63054645|901|B|G
74881317|901|B|E
74881301|901|B|R
74881333|901|B|G
260969509|804|B|E
260969493|804|B|R
260969525|804|B|G
138075493|403|A|E
138075477|403|A|R
138075509|403|A|G
141844773|1506|B|E
141844757|1506|B|R
141844789|1506|B|G
172212517|1402|B|E
172212501|1402|B|R
172212533|1402|B|G
161166357|804|A|E
161166373|804|A|R
161166389|804|A|G
182813733|1402|B|E
182813717|1402|B|R
182813749|1402|B|G
18287381|1303|A|E
18287397|1303|A|R
18287413|1303|A|G
89474853|1503|B|E
89474837|1503|B|R
89474869|1503|B|G
30861349|1503|B|E
30861333|1503|B|R
30861365|1503|B|G
202782501|1503|B|E
202782485|1503|B|R
202782517|1503|B|G
171578405|1503|B|E
171578389|1503|B|R
171578421|1503|B|G
84743205|603|B|E
84743189|603|B|R
84743221|603|B|G
141366309|1701|B|E
141366293|1701|B|R
753826|1701|B|G
178965941|1602|B|E
178965925|1602|B|R
178965909|1602|B|G
90438197|504|A|E
90438181|504|A|R
90438165|504|A|G
183371317|1602|A|E
183371301|1602|A|R
183371285|1602|A|G
23614261|1602|A|E
23614245|1602|A|R
23614229|1602|A|G
88728613|1602|A|E
88728597|1602|A|R
88728629|1602|A|G
98586389|1201|A|E
98586405|1201|A|R
98586421|1201|A|G
194270501|903|B|E
194270485|903|B|R
